DATE,AIRRPMD,AIRRPMT,CHEMICAL,COAL,DURABLES,HS1FAM,HSTOTAL,NONDUR,PETROL,TOBACCO,VEHICLES
JUN78,16.529998779,20.509994507,11161,65565,71380,154.29992676,216,59683,8721,1003,12035
JUL78,17.739990234,22.479995728,9605,53640,58902,139.29992676,192.19995117,54911,8719,821,8645
AUG78,18.929992676,23.699996948,10241,64395,65653,140,190.89990234,59912,8925,968,9141
SEP78,14.779998779,19.029998779,10914,57775,71345,124.59997559,180.5,61282,9110,939,11290
OCT78,15.029998779,18.809997559,10704,69860,73238,131.09997559,192.09997559,62276,8899,1043,12987
NOV78,14.439994812,17.75,10435,69245,70662,110.39996338,158.59997559,60837,9074,1014,12532
DEC78,15.659996033,19.38999939,10425,59630,68389,81.399963379,119.5,58591,9464,941,10566
JAN79,15.509994507,19.409988403,11117,57451,67099,57.5,88.199951172,59255,9736,879,11891
FEB79,14.919998169,17.959991455,11701,54525,75298,59.299987793,84.5,63573,10320,776,12956
MAR79,18.819992065,22.579986572,13268,66379,82915,109.79998779,152.89990234,68120,10790,864,13669
APR79,16.799987793,20.789993286,12370,63531,75325,121.19995117,161,64409,10675,830,11881
MAY79,16.289993286,20.629989624,12952,69058,80000,131.19995117,189.09997559,67059,11403,904,13167
JUN79,18.869995117,24.049987793,13059,70287,81123,134.5,191.79992676,69023,12041,766,11738
JUL79,20.279998779,26.059997559,11540,53252,68893,117.79998779,164.19995117,64987,12375,975,8484
AUG79,22.159988403,27.959991455,11954,71181,73079,119.39996338,170.29992676,69691,13378,907,7283
SEP79,16.219985962,21.13999939,12840,64189,79554,105.69995117,163.69995117,72829,14004,896,10483
OCT79,16.689987183,21.799987793,12429,78070,81295,107.89996338,169,72847,13881,951,11644
NOV79,16.069992065,19.809997559,12205,68037,75178,72,118.69995117,71810,14469,937,10048
DEC79,16.519989014,20.519989014,12241,60339,72966,57.799987793,91.599975586,70906,15296,917,8134
JAN80,15.879997253,20,12948,69105,72042,49.299987793,73.099975586,71116,15696,877,8808
FEB80,15.13999939,18.579986572,13641,65180,81147,49.899993896,79.899963379,76297,16522,932,10054
MAR80,18.089996338,22.169998169,14682,70473,83253,51.699981689,85.099975586,78153,16554,899,9921
APR80,16.679992676,20.759994507,13982,69135,76933,61.5,96.199951172,74222,16039,1039,8850
MAY80,16.339996338,20.909988403,13213,70531,73656,64.899963379,91.699951172,74192,16394,1014,7780
JUN80,18.439987183,23.629989624,13338,70830,77091,76.899963379,116.39996338,76787,16693,945,7856
JUL80,18.929992676,24.919998169,11830,60656,66719,85.599975586,120.09997559,71088,15875,1054,6102
AUG80,20.049987793,26.38999939,12802,67890,71584,92,129.89990234,77133,16218,1080,6416
SEP80,14.839996338,19.619995117,14276,68344,82807,95,138.29992676,81130,16254,1009,9469
OCT80,15.839996338,20.089996338,13986,71723,85376,97.5,152.69995117,81708,16818,1144,11073
NOV80,14.269996643,17.88999939,13362,68130,81155,71.199951172,112.89996338,80616,17647,1068,9935
DEC80,16.369995117,20.25,14457,71647,78834,56.599975586,95.899963379,79647,17963,1133,8296
JAN81,15.729995728,19.329986572,14415,65622,74198,48,84.5,79597,19128,1009,8340
FEB81,14.059997559,16.979995728,15125,70446,83436,48,71.899963379,84931,19425,1027,9406
MAR81,16.459991455,19.819992065,16638,77718,90060,70.5,107.79998779,86512,18351,1028,10862
APR81,16.419998169,20.259994507,15765,35816,87728,83.599975586,123,84206,18024,1064,11119
MAY81,17.459991455,21.869995117,15565,37829,87369,73.799987793,109.89996338,83778,18629,1009,11430
JUN81,17.899993896,22.699996948,16140,61083,93453,72.5,105.79998779,87951,19015,1107,12158
JUL81,19.039993286,24.559997559,14063,73510,77190,69.5,99.899963379,80755,18306,1141,8390
AUG81,18.75,24.619995117,14738,78248,82221,57,86.299987793,86097,18988,1170,8530
SEP81,15.169998169,19.75,15743,81303,87873,58.299987793,84.099975586,88193,18577,1142,9579
OCT81,16.049987793,20.25,14310,84784,85603,49.899993896,87.199951172,86326,18853,1117,10511
NOV81,14.919998169,18.299987793,13822,76027,80085,40.099975586,64.599975586,82788,18366,1149,9140
DEC81,16.739990234,20.419998169,14133,75966,77249,34.099975586,59.099975586,79946,18470,1167,7516
JAN82,16.069992065,19.779998779,13833,66443,69160,29.299987793,47.199981689,77489,17685,1088,7148
FEB82,15.049995422,17.989990234,14861,70344,79345,32.5,51.299987793,83272,16917,1074,8727
MAR82,18.289993286,21.709991455,15806,82932,84289,51.799987793,78.199951172,83971,15878,1066,10142
APR82,17.759994507,21.579986572,15132,73155,79594,55.799987793,84.099975586,80860,16553,1158,10538
MAY82,17.259994507,21.519989014,15237,70656,80869,58.899993896,98.799987793,82989,17669,1145,10931
JUN82,18.969985962,23.669998169,15514,71231,84664,63.5,91.099975586,86483,18161,1394,11624
JUL82,19.789993286,25.159988403,13098,59868,70639,61.399993896,106.79998779,78719,17721,1028,8605
AUG82,20.229995728,25.819992065,14102,72091,73669,62,96,83376,17377,1284,8690
SEP82,15.609992981,20.119995117,14948,67203,80160,63.299987793,106.39996338,87388,17824,1498,10024
OCT82,16.75,20.939987183,13269,70068,75894,66.299987793,110.5,83593,17473,1265,9432
NOV82,15.949996948,19.199996948,13284,63043,72461,66,108.89996338,81167,16793,1108,8622
DEC82,17.339996338,20.919998169,13719,62177,71371,51.799987793,82.899963379,78697,16379,1347,7694
JAN83,17.559997559,21.199996948,13516,62454,71099,56.299987793,91.299987793,77631,15468,1040,9703
FEB83,16.789993286,19.719985962,14640,60394,79103,60.399993896,96.299987793,82062,14425,1058,11560
MAR83,21.559997559,25.199996948,15590,68553,85854,86.199951172,134.59997559,85209,15026,1351,12127
APR83,18.489990234,22.339996338,14763,61552,82169,93.199951172,135.79992676,82774,15659,1111,11729
MAY83,18.529998779,23.079986572,15501,62916,83703,114.89996338,174.89990234,85174,16073,1276,12571
JUN83,20.679992676,26.129989624,16344,61445,92283,114.19995117,173.19995117,90312,17092,1594,13710
JUL83,20.829986572,27.069992065,13935,54904,76445,100.39996338,161.59997559,82528,16829,1162,9897
AUG83,21.219985962,27.599990845,15188,72891,82851,109.89996338,176.79992676,89030,16896,1371,11304
SEP83,17.049987793,22.339996338,16894,69927,92437,97.199951172,154.89990234,93406,16987,1595,13493
OCT83,18.429992676,23.409988403,15551,71340,91767,91.899963379,159.29992676,90877,16200,1402,14372
NOV83,17.209991455,21,15360,68272,90337,81.899963379,136,88705,15864,1474,14226
DEC83,18.569992065,22.739990234,15927,63354,91423,61,108.29998779,87723,16051,1818,12593
JAN84,17.649993896,21.779998779,15563,67622,84937,67.699951172,109.09997559,84247,15166,1109,14620
FEB84,17.059997559,20.529998779,16485,73408,95447,81,130,89781,15294,1307,16005
MAR84,20.819992065,25.189987183,17592,81232,101930,87.799987793,137.5,94280,16176,1549,16683
APR84,19.949996948,24.659988403,17036,72511,96194,106.39996338,172.69995117,91421,16291,1380,15487
MAY84,20.369995117,25.699996948,17091,80676,97872,115.19995117,180.69995117,91442,15918,1488,15684
JUN84,22.099990845,28.25,17861,76094,104820,111,184,95644,16349,1682,15962
JUL84,22.279998779,28.899993896,15408,74381,87024,97.899963379,162.09997559,87613,15730,1362,12000
AUG84,23.879989624,30.849990845,16329,90365,94555,91.899963379,147.39990234,92121,15551,1539,13769
SEP84,19.129989624,25.079986572,17277,78538,101081,90.5,148.5,96332,16322,1541,14031
OCT84,20.349990845,25.459991455,15855,69419,101139,91.899963379,152.29992676,92563,15427,1444,16078
NOV84,19.5,23.629989624,15434,64039,97814,80,126.19995117,89978,15418,1339,15827
DEC84,20.589996338,25.079986572,16299,63475,96667,62.799987793,98.899963379,89528,15371,1699,13149
JAN85,20.039993286,24.369995117,15911,67921,88458,59.299987793,105.39996338,84150,13610,1153,15969
FEB85,18.659988403,22.219985962,16618,66897,97974,63.399993896,95.399963379,90800,14160,1439,16628
MAR85,24.549987793,28.879989624,17756,77347,104959,92.599975586,145,94607,14792,1620,16670
APR85,23.119995117,27.819992065,17138,76241,99301,108.69995117,175.79992676,90229,15252,1382,16487
MAY85,23.279998779,29.169998169,16739,77979,100519,107.5,170.19995117,91499,15221,1624,16883
JUN85,23.859985352,30.919998169,17663,72731,106660,101.69995117,163.19995117,94806,15651,1926,16201
JUL85,25.5,32.899993896,14980,68821,88344,105.59997559,160.69995117,85937,14884,1258,12168
AUG85,26.329986572,34.079986572,15933,79212,96490,99.5,160.69995117,91527,15253,1466,14010
SEP85,19.879989624,26.059997559,17163,73596,103793,89.899963379,147.69995117,95138,14825,1708,16556
OCT85,21.559997559,27,15903,79711,103922,104.69995117,173,92064,14776,1364,17404
NOV85,20.13999939,24.5,15314,68881,99829,73.399963379,124.09997559,91758,15449,1502,16435
DEC85,23.669998169,28.469985962,16194,69593,96916,66,120.5,89440,15262,2065,13123
JAN86,22.049987793,26.839996338,16246,77804,89596,72,115.59997559,85836,13937,873,16744
FEB86,21.149993896,24.929992676,16943,72209,99911,65.099975586,107.19995117,89401,12002,1438,17410
MAR86,26.519989014,31.38999939,17069,77078,103879,97,151,89652,10834,1838,16484
APR86,24.609985352,29.149993896,17320,74333,102465,118.39996338,188.19995117,86915,10568,1375,17103
MAY86,25.339996338,30.369995117,16421,72568,100547,126.09997559,186.59997559,87429,11049,1677,17301
JUN86,26.699996948,32.679992676,16979,72071,108060,124.89996338,183.59997559,91813,10246,2222,17301
JUL86,28.729995728,35.659973145,14749,67253,90221,113.5,172,81818,9413,1240,12843
AUG86,30.719985962,38.479980469,16141,75912,95026,109.39996338,163.79992676,88796,9682,1509,13748
SEP86,23.129989624,29,17461,74407,105774,102.5,154,93955,9671,1747,16904
OCT86,24.399993896,29.599990845,15934,79412,104244,100.89996338,154.79992676,89732,8991,1263,17342
NOV86,23.069992065,27.709991455,15581,69774,99314,77.5,115.69995117,88261,9224,1653,15476
DEC86,25.669998169,30.739990234,16246,73201,102667,72.199951172,113,86842,9261,2243,15424
JAN87,23.429992676,28.699996948,16394,74473,89987,69.199951172,105.09997559,83410,9289,837,15988
FEB87,23.819992065,28.019989014,17353,71447,104593,71.799987793,102.79998779,91283,9333,1396,19244
MAR87,29.669998169,35.079986572,17887,75609,111427,100.39996338,141.19995117,93980,9663,1851,18715
APR87,28.469985962,34.209991455,17784,70768,104379,118.29998779,159.29992676,90976,9907,1238,17780
MAY87,28.239990234,34.829986572,17959,70436,103747,114.09997559,158,92521,10318,1788,17160
JUN87,28.489990234,36.269989014,18705,76780,113047,114.09997559,162.89990234,97948,10772,2206,17349
JUL87,30.799987793,39.939971924,16474,69427,93309,111.5,152.39990234,90396,11194,1225,11171
AUG87,31.789993286,41.559997559,17652,80348,100132,100.69995117,143.59997559,95658,11176,1591,13438
SEP87,24.239990234,31.629989624,19064,82118,114346,109.09997559,152,101244,10952,2092,16713
OCT87,25.759994507,32.66998291,17780,85630,112009,96.599975586,139.09997559,98588,10984,1382,18369
NOV87,24.299987793,29.899993896,17600,78919,107526,79.299987793,118.79998779,96678,10699,2007,17067
DEC87,25.629989624,31.659988403,18053,79246,108990,61.199981689,85.399963379,93871,10241,2322,14055
JAN88,24.089996338,30.449996948,19957,75364,97328,55.799987793,78.199951172,95132,10257,1090,15500
FEB88,24.359985352,29.709991455,20942,76778,110727,64,90.199951172,101055,10047,1500,18475
MAR88,29.519989014,36.239990234,22343,83964,121221,99.899963379,128.79992676,105630,10606,2246,19423
APR88,27.239990234,34.129974365,22053,75351,114059,106.09997559,153.19995117,103280,10891,1572,18686
MAY88,27.719985962,35.349975586,21286,73979,116049,104,140.19995117,103947,11160,2356,19646
JUN88,29.049987793,38.239990234,22504,76448,126159,113.59997559,150.19995117,110517,11651,2346,19733
JUL88,30.5,40.879974365,20243,69198,101393,100.29998779,137,101493,11500,1423,12605
AUG88,32.209991455,43,21897,88206,112493,101.39996338,136.79992676,108197,11713,1833,16616
SEP88,25.219985962,33.819976807,22816,83272,125058,91.699951172,131.09997559,112966,11004,2528,19156
OCT88,27.319992065,35.449981689,21879,80853,122606,97.699951172,135.09997559,110026,10860,1824,21348
NOV88,25.849990845,32.529998779,21676,82973,118636,81.199951172,113,107605,10853,2423,20049
DEC88,26.219985962,33.479980469,22102,80324,122482,65.699951172,94.199951172,106734,10873,2691,18020
JAN89,24.899993896,32.219970703,22459,81969,112776,69.899963379,100.09997559,103968,10590,1285,20262
FEB89,23.279998779,29.369995117,23136,75040,124282,59.299987793,85.799987793,110436,10728,1692,21789
MAR89,28.489990234,36.059997559,23686,88981,131379,83.5,117.79998779,113370,11354,2572,20603
APR89,26.099990845,33.569976807,23971,77145,126518,100.39996338,129.39990234,112819,12618,1941,21928
MAY89,26.939987183,35.379974365,23244,82486,126221,101.39996338,131.69995117,112639,12712,2351,21025
JUN89,29.929992676,40.049987793,24264,78544,134127,100.29998779,143.19995117,117689,13077,2581,19346
JUL89,30.929992676,41.899993896,21819,66269,105684,98,134.69995117,106490,12384,1399,11786
AUG89,32.969970703,44.379974365,22661,90824,123664,91.699951172,122.39996338,113583,12350,2028,19082
SEP89,25.419998169,34.699981689,23602,84618,134088,82.399963379,109.29998779,118176,12625,2554,20127
OCT89,27.63999939,36.149993896,22187,89574,127279,91.199951172,130.09997559,115755,12777,2230,20217
NOV89,26.399993896,33.829986572,21805,86965,123731,71.899963379,96.599975586,112079,12357,2543,20385
DEC89,26.88999939,35.099975586,22353,72554,124639,53.399993896,75,108872,12738,2827,16653
JAN90,25.519989014,34.089996338,22131,90276,105330,67.899963379,99.199951172,106084,13268,1417,13065
FEB90,24.709991455,31.879989624,23190,81756,125142,65.899963379,86.899963379,112830,12571,1829,20275
MAR90,29.75,38.629974365,24548,91292,136345,83.199951172,108.5,118004,12442,2617,21776
APR90,28.029998779,36.889984131,24252,82880,124831,90,119,114135,12687,2222,20260
MAY90,27.929992676,37.539978027,23506,86200,129954,92.399963379,121.09997559,115053,12995,2663,22523
JUN90,30.349990845,41.75,24736,84276,140143,88.899963379,117.79998779,120257,13039,2557,23033
JUL90,31.789993286,44.379974365,22049,79535,110644,85.5,111.19995117,110286,13035,1726,14133
AUG90,33.819976807,47.099975586,24493,91515,125921,75.599975586,102.79998779,122418,16683,2468,20110
SEP90,26.279998779,36.859985352,25487,82813,133787,71.899963379,93.099975586,128635,18752,2744,19682
OCT90,28.299987793,37.839996338,24260,93078,131632,75.599975586,94.199951172,127553,19604,2393,22197
NOV90,26.63999939,34.789978027,23929,86461,121237,54.899993896,81.399963379,122973,18201,3179,17212
DEC90,27.099990845,36.179992676,23031,75487,119684,43.099975586,57.399993896,114587,16080,2346,11784
JAN91,25.209991455,33.5,23701,85810,104622,39.199981689,52.5,109633,14935,1548,15467
FEB91,23.25,28.519989014,24205,82592,116914,46.099975586,59.099975586,114703,13261,1826,17002
MAR91,27.159988403,34.279998779,24200,85012,122049,61.399993896,73.799987793,116761,12838,2944,15952
APR91,27.369995117,35.199981689,24971,79324,120571,82.799987793,99.699951172,114498,13509,1817,18767
MAY91,27.799987793,37.469970703,24560,79917,123418,84.5,97.699951172,117065,14352,2906,20605
JUN91,29.579986572,40.839996338,24992,76896,133092,86.799987793,103.39996338,121641,14136,3130,19809
JUL91,31.629989624,44.029998779,22566,79720,107332,87.399963379,103.5,111495,13672,1792,14233
AUG91,33.049987793,46.75,24037,88818,122340,78.699951172,94.699951172,119713,14394,2456,19311
SEP91,25.759994507,36.939971924,25047,81504,133506,73.699951172,86.599975586,124456,14406,2954,20827
OCT91,27.659988403,38.079986572,24115,90230,130927,80.899963379,101.79998779,122992,14587,2390,23388
NOV91,24.979995728,33.779998779,23034,81644,125777,62.599975586,75.599975586,119586,14271,3454,20181
DEC91,,,22590,79244,118503,56.299987793,65.599975586,112009,12981,2825,14344
